,,,principal_angle,principal_angle,found_dim,found_dim
,,,mean,std,mean,std
surrogate_model,dim_total,dim_effect,,,,
GPRSurrogate,10,10,0.007599055487662554,0.009242776797374293,3.6,1.140175425099138
GPRSurrogate,20,5,55.71367492675781,5.884861406950064,6.8,1.3038404810405297
GPRSurrogate,50,5,56.07164764404297,4.277074882586781,15.6,1.6733200530681513
GPRSurrogate,100,10,55.97024993896484,3.306714437965327,34.4,4.277849927241488
PolynomialRegressionModel,10,10,0.001978234015405178,0.004423465733848345,2.8,0.8366600265340756
PolynomialRegressionModel,20,5,53.52676773071289,8.093548723824194,6.2,1.788854381999832
PolynomialRegressionModel,50,5,53.82498626708984,8.456195697276831,15.4,3.0495901363953815
PolynomialRegressionModel,100,10,54.736978149414064,5.570134524084985,34.0,7.713624310270756
RBFNetwork,10,10,0.011666562035679817,0.007887931752975724,3.4,1.6733200530681511
RBFNetwork,20,5,55.65699996948242,2.6500165184500406,7.2,1.7888543819998317
RBFNetwork,50,5,54.9135025024414,4.969144965775471,16.6,4.03732584763727
RBFNetwork,100,10,54.03088226318359,3.109564849643401,35.8,4.764451699828639
